ID_SONDE;ID_DOSSIER;ALTITUDE_MIN;ALTITUDE_MAX;DIMENSION;FLUIDE;ETAT;DETERMINATION_PLANIMETRIQUE;REMARQUES;E;N
;APA 29428;0.0;0.0;Diamètre 32mm/40mm Profondeur 130m;Glycol / Alcoll 30 %;En service;Précis;Selon plan d'implantation;2503134.19;1116687.02
;DD103532;0.0;0.0;Profondeur 150m;Inconnu;En service;Précis;Selon plan d'implantation;2503969.64;1117479.52
;DD103532;0.0;0.0;Profondeur 150m;Inconnu;En service;Précis;Selon plan d'implantation;2503973.68;1117475.11
;DD 103116;0.0;0.0;Diamètre 32mm Profondeur 126m;Inconnu;En service;Précis;;2500384.43;1124679.20
;DD 103116;0.0;0.0;Diamètre 32mm Profondeur 126m;Inconnu;En service;Précis;;2500393.94;1124689.78
;DD 103116;0.0;0.0;Diamètre 32mm Profondeur 126m;Inconnu;En service;Précis;;2500403.18;1124699.99
;DD 103116;0.0;0.0;Diamètre 32mm Profondeur 126m;Inconnu;En service;Précis;;2500412.33;1124710.22
;DD 102850;0.0;0.0;Diamètre 40mm  Profondeur 205m;Inconnu;En service;Précis;Selon plan d'implatation;2503373.49;1119155.04
;DD 102850;0.0;0.0;Diamètre 40mm  Profondeur 205m;Inconnu;En service;Précis;Selon plan d'implatation;2503378.57;1119159.93
;DD 102850;0.0;0.0;Diamètre 40mm  Profondeur 205m;Inconnu;En service;Précis;Selon plan d'implatation;2503383.48;1119154.86
;DD 102850;0.0;0.0;Diamètre 40mm  Profondeur 205m;Inconnu;En service;Précis;Selon plan d'implatation;2503378.54;1119149.81
;DD 102745;0.0;440.86;Diamètre 40x37mm Profondeur 180m;Autre;En service;Précis;Selon plan d'implatation;2506873.40;1123782.19
;DD 102745;0.0;440.86;Diamètre 40x37mm Profondeur 180m;Autre;En service;Précis;Selon plan d'implatation;2506877.75;1123787.75
;DD 102745;0.0;440.86;Diamètre 40x37mm Profondeur 180m;Autre;En service;Précis;Selon plan d'implatation;2506882.15;1123793.29
;APA 33441;0.0;0.0;Diamètre 32mm Profondeur 164;Inconnu;En service;Précis;Selon plan d'implatation;2503462.92;1116757.87
;APA 33441;0.0;0.0;Diamètre 32mm Profondeur 164;Inconnu;En service;Précis;Selon plan d'implatation;2503467.93;1116764.11
;DD 100668;0.0;0.0;Diamètre 40mm Profondeur 190;Glycol / Alcoll 30 %;En service;Précis;Selon plan d'implatation;2488507.93;1112114.19
;DD 100668;0.0;0.0;Diamètre 40mm Profondeur 190;Glycol / Alcoll 30 %;En service;Précis;Selon plan d'implatation;2488499.07;1112105.45
;DD 103430;0.0;0.0;Profondeur 90m;Inconnu;En service;Précis;Selon plan d'implantation;2505691.96;1124131.25
;DD 103430;0.0;0.0;Profondeur 90m;Inconnu;En service;Précis;Selon plan d'implantation;2505698.03;1124126.89
;DD 103821;0.0;0.0;Diam. 32 Profondeur 120m;Glycol / Alcoll 30 %;En service;Précis;Dossier Adrien Kupfer;2497506.43;1114973.61
;DD 103821;0.0;0.0;Diam. 32 Profondeur 120m;Glycol / Alcoll 30 %;En service;Précis;Dossier Adrien Kupfer;2497510.28;1114968.75
;APA 36419;0.0;0.0;Diam 32mm (4x32) Prof 140m;Inconnu;En service;Imprécis;Reporté d'après le bâtiment projet;2495715.35;1115300.31
;DD 104589;0.0;0.0;Diam. 4x32mm longueur 250m;Inconnu;En service;Précis;Voir Rapport de forage;2501191.07;1124367.07
